LHS Id,LHS Compound,RHS Id,RHS Compound,Experimental Redox
"6-cyano-1,4-naphthoquinone",O=C1C=CC(=O)c2cc(ccc12)C#N,"6-cyano-1,4-naphthosemiquinone",[O]C1C=CC([O])c2cc(ccc12)C#N,-387
"6-cyano-2,3-dimethyl-1,4-naphthoquinone",CC1=C(C)C(=O)c2cc(ccc2C1=O)C#N,"6-cyano-2,3-dimethyl-1,4-naphthosemiquinone",CC1=C(C)C([O])c2cc(ccc2C1[O])C#N,-523
"2-chloro-1,4-naphthoquinone",ClC1=CC(=O)c2ccccc2C1=O,"2-chloro-1,4-naphthosemiquinone",ClC1=CC([O])c2ccccc2C1[O],-402
"2-chloro-3-propylamino-1,4-naphthoquinone",CCCNC1=C(Cl)C(=O)c2ccccc2C1=O,"2-chloro-3-propylamino-1,4-naphthosemiquinone",CCCNC1=C(Cl)C([O])c2ccccc2C1[O],-704
"2,3-dichloro-1,4-naphthoquinone",ClC1=C(Cl)C(=O)c2ccccc2C1=O,"2,3-dichloro-1,4-naphthosemiquinone",ClC1=C(Cl)C([O])c2ccccc2C1[O],-287
"6,7-dichloro-1,4-naphthoquinone",Clc1cc2C(=O)C=CC(=O)c2cc1Cl,"6,7-dichloro-1,4-naphthosemiquinone",Clc1cc2C([O])C=CC([O])c2cc1Cl,-424
"2,3-dibromo-1,4-naphthoquinone",BrC1=C(Br)C(=O)c2ccccc2C1=O,"2,3-dibromo-1,4-naphthosemiquinone",BrC1=C(Br)C([O])c2ccccc2C1[O],-292
"6,7-dibromo-2-methyl-1,4-naphthoquinone",CC1=CC(=O)c2cc(Br)c(Br)cc2C1=O,"6,7-dibromo-2-methyl-1,4-naphthosemiquinone",CC1=CC([O])c2cc(Br)c(Br)cc2C1[O],-500
"6,7-dibromo-2,3-dimethyl-1,4-naphthoquinone",CC1=C(C)C(=O)c2cc(Br)c(Br)cc2C1=O,"6,7-dibromo-2,3-dimethyl-1,4-naphthosemiquinone",CC1=C(C)C([O])c2cc(Br)c(Br)cc2C1[O],-577
"2-methyl-1,4-naphthoquinone",CC1=CC(=O)c2ccccc2C1=O,"2-methyl-1,4-naphthosemiquinone",CC1=CC([O])c2ccccc2C1[O],-650
"5-methyl-1,4-naphthoquinone",Cc1cccc2C(=O)C=CC(=O)c12,"5-methyl-1,4-naphthosemiquinone",Cc1cccc2C([O])C=CC([O])c12,-636
"6-methyl-1,4-naphthoquinone",Cc1ccc2C(=O)C=CC(=O)c2c1,"6-methyl-1,4-naphthosemiquinone",Cc1ccc2C([O])C=CC([O])c2c1,-593
"2-t-butyl-1,4-naphthoquinone",CC(C)(C)C1=CC(=O)c2ccccc2C1=O,"2-t-butyl-1,4-naphthosemiquinone",CC(C)(C)C1=CC([O])c2ccccc2C1[O],-662
"2-cyclohexyl-1,4-naphthoquinone",O=C1C=C(C2CCCCC2)C(=O)c3ccccc13,"2-cyclohexyl-1,4-naphthosemiquinone",[O]C1C=C(C2CCCCC2)C([O])c3ccccc13,-679
"2,3-dimethyl-1,4-naphthoquinone",CC1=C(C)C(=O)c2ccccc2C1=O,"2,3-dimethyl-1,4-naphthosemiquinone",CC1=C(C)C([O])c2ccccc2C1[O],-746
"2,6-dimethyl-1,4-naphthoquinone",Cc1ccc2C(=O)C(=CC(=O)c2c1)C,"2,6-dimethyl-1,4-naphthosemiquinone",Cc1ccc2C([O])C(=CC([O])c2c1)C,-729
"2,7-dimethyl-1,4-naphthoquinone",Cc1ccc2C(=O)C=C(C)C(=O)c2c1,"2,7-dimethyl-1,4-naphthosemiquinone",Cc1ccc2C([O])C=C(C)C([O])c2c1,-674
"2,8-dimethyl-1,4-naphthoquinone",Cc1cccc2C(=O)C=C(C)C(=O)c12,"2,8-dimethyl-1,4-naphthosemiquinone",Cc1cccc2C([O])C=C(C)C([O])c12,-710
"5,8-dimethyl-1,4-naphthoquinone",Cc1ccc(C)c2C(=O)C=CC(=O)c12,"5,8-dimethyl-1,4-naphthosemiquinone",Cc1ccc(C)c2C([O])C=CC([O])c12,-719
"6,7-dimethyl-1,4-naphthoquinone",Cc1cc2C(=O)C=CC(=O)c2cc1C,"6,7-dimethyl-1,4-naphthosemiquinone",Cc1cc2C([O])C=CC([O])c2cc1C,-622
"2-methyl-3-ethyl-1,4-naphthoquinone",CCC1=C(C)C(=O)c2ccccc2C1=O,"2-methyl-3-ethyl-1,4-naphthosemiquinone",CCC1=C(C)C([O])c2ccccc2C1[O],-744
"2-methyl-3-pentyl-1,4-naphthoquinone",CCCCCC1=C(C)C(=O)c2ccccc2C1=O,"2-methyl-3-pentyl-1,4-naphthosemiquinone",CCCCCC1=C(C)C([O])c2ccccc2C1[O],-748
"2-methyl-3-decyl-1,4-naphthoquinone",CCCCCCCCCCC1=C(C)C(=O)c2ccccc2C1=O,"2-methyl-3-decyl-1,4-naphthosemiquinone",CCCCCCCCCCC1=C(C)C([O])c2ccccc2C1[O],-756
"2-methyl-3-undecyl-1,4-naphthoquinone",CCCCCCCCCCCC1=C(C)C(=O)c2ccccc2C1=O,"2-methyl-3-undecyl-1,4-naphthosemiquinone",CCCCCCCCCCCC1=C(C)C([O])c2ccccc2C1[O],-730
"2-methyl-3-decyl-6,7-dichloro-1,4-naphthoquinone",CCCCCCCCCCC1=C(C)C(=O)c2cc(Cl)c(Cl)cc2C1=O,"2-methyl-3-decyl-6,7-dichloro-1,4-naphthosemiquinone",CCCCCCCCCCC1=C(C)C([O])c2cc(Cl)c(Cl)cc2C1[O],-567
"2,3,5-trimethyl-1,4-naphthoquinone",Cc1cccc2C(=O)C(=C(C)C(=O)c12)C,"2,3,5-trimethyl-1,4-naphthosemiquinone",Cc1cccc2C([O])C(=C(C)C([O])c12)C,-840
"2,3,6,7-tetramethyl-1,4-naphthoquinone",Cc1cc2C(=O)C(=C(C)C(=O)c2cc1C)C,"2,3,6,7-tetramethyl-1,4-naphthosemiquinone",Cc1cc2C([O])C(=C(C)C([O])c2cc1C)C,-781
"2-methoxy-1,4-naphthoquinone",COC1=CC(=O)c2ccccc2C1=O,"2-methoxy-1,4-naphthosemiquinone",COC1=CC([O])c2ccccc2C1[O],-737
"5-methoxy-1,4-naphthoquinone",COc1cccc2C(=O)C=CC(=O)c12,"5-methoxy-1,4-naphthosemiquinone",COc1cccc2C([O])C=CC([O])c12,-683
"2-methoxy-7-hydroxy-1,4-naphthoquinone",COC1=CC(=O)c2ccc(O)cc2C1=O,"2-methoxy-7-hydroxy-1,4-naphthosemiquinone",COC1=CC([O])c2ccc(O)cc2C1[O],-695
"2,3-dimethoxy-1,4-naphthoquinone",COC1=C(OC)C(=O)c2ccccc2C1=O,"2,3-dimethoxy-1,4-naphthosemiquinone",COC1=C(OC)C([O])c2ccccc2C1[O],-653
"5,8-dimethoxy-1,4-naphthoquinone",COc1ccc(OC)c2C(=O)C=CC(=O)c12,"5,8-dimethoxy-1,4-naphthosemiquinone",COc1ccc(OC)c2C([O])C=CC([O])c12,-776
"5-acetoxy-1,4-naphthoquinone",CC(=O)Oc1cccc2C(=O)C=CC(=O)c12,"5-acetoxy-1,4-naphthosemiquinone",CC(=O)Oc1cccc2C([O])C=CC([O])c12,-547
"5-acetoxy-8-hydroxy-1,4-naphthoquinone",CC(=O)Oc1ccc(O)c2C(=O)C=CC(=O)c12,"5-acetoxy-8-hydroxy-1,4-naphthosemiquinone",CC(=O)Oc1ccc(O)c2C([O])C=CC([O])c12,-356
"5,8-diacetoxy-1,4-naphthoquinone",CC(=O)Oc1ccc(OC(C)=O)c2C(=O)C=CC(=O)c12,"5,8-diacetoxy-1,4-naphthosemiquinone",CC(=O)Oc1ccc(OC(C)=O)c2C([O])C=CC([O])c12,-509
"2,5,8-triacetoxy-1,4-naphthoquinone",CC(=O)Oc1ccc(OC(C)=O)c2C(=O)C(=CC(=O)c12)OC(C)=O,"2,5,8-triacetoxy-1,4-naphthosemiquinone",CC(=O)Oc1ccc(OC(C)=O)c2C([O])C(=CC([O])c12)OC(C)=O,-386
"2-allyloxy-1,4-naphthoquinone",C=CCOC1=CC(=O)c2ccccc2C1=O,"2-allyloxy-1,4-naphthosemiquinone",C=CCOC1=CC([O])c2ccccc2C1[O],-700
"2-isopropoxy-1,4-naphthoquinone",CC(C)OC1=CC(=O)c2ccccc2C1=O,"2-isopropoxy-1,4-naphthosemiquinone",CC(C)OC1=CC([O])c2ccccc2C1[O],-701
"2-phenylsulfonyl-1,4-naphthoquinone",O=C1C=C(C(=O)c2ccccc12)[S](=O)(=O)c3ccccc3,"2-phenylsulfonyl-1,4-naphthosemiquinone",[O]C1C=C(C([O])c2ccccc12)[S](=O)(=O)c3ccccc3,-167
"2-amino-1,4-naphthoquinone",NC1=CC(=O)c2ccccc2C1=O,"2-amino-1,4-naphthosemiquinone",NC1=CC([O])c2ccccc2C1[O],-845
"2-amino-3-acetylamino-1,4-naphthoquinone",CC(=O)NC1=C(N)C(=O)c2ccccc2C1=O,"2-amino-3-acetylamino-1,4-naphthosemiquinone",CC(=O)NC1=C(N)C([O])c2ccccc2C1[O],-767
"2-amino-3-propionylamino-1,4-naphthoquinone",CCC(=O)NC1=C(N)C(=O)c2ccccc2C1=O,"2-amino-3-propionylamino-1,4-naphthosemiquinone",CCC(=O)NC1=C(N)C([O])c2ccccc2C1[O],-771
"2-amino-3-dimethylamino-1,4-naphthoquinone",CN(C)C1=C(N)C(=O)c2ccccc2C1=O,"2-amino-3-dimethylamino-1,4-naphthosemiquinone",CN(C)C1=C(N)C([O])c2ccccc2C1[O],-861
"2-dimethylamino-1,4-naphthoquinone",CN(C)C1=CC(=O)c2ccccc2C1=O,"2-dimethylamino-1,4-naphthosemiquinone",CN(C)C1=CC([O])c2ccccc2C1[O],-845
"2-methylthio-1,4-naphthoquinone",CC1=CC(=O)c2ccccc2C1=S,"2-methylthio-1,4-naphthosemiquinone",CC1=CC([O])c2ccccc2C1[S],-619
"2-methylthio-3-methyl-1,4-naphthoquinone",CSC1=C(C)C(=O)c2ccccc2C1=O,"2-methylthio-3-methyl-1,4-naphthosemiquinone",CSC1=C(C)C([O])c2ccccc2C1[O],-651
"2-ethylthio-3-methyl-1,4-naphthoquinone",CCSC1=C(C)C(=O)c2ccccc2C1=O,"2-ethylthio-3-methyl-1,4-naphthosemiquinone",CCSC1=C(C)C([O])c2ccccc2C1[O],-641
"2-hydroxy-1,4-naphthoquinone",OC1=CC(=O)c2ccccc2C1=O,"2-hydroxy-1,4-naphthosemiquinone",OC1=CC([O])c2ccccc2C1[O],-460
"5-hydroxy-1,4-naphthoquinone",Oc1cccc2C(=O)C=CC(=O)c12,"5-hydroxy-1,4-naphthosemiquinone",Oc1cccc2C([O])C=CC([O])c12,-390
"2-hydroxy-3-methyl-1,4-naphthoquinone",CC1=C(O)C(=O)c2ccccc2C1=O,"2-hydroxy-3-methyl-1,4-naphthosemiquinone",CC1=C(O)C([O])c2ccccc2C1[O],-582
"2-hydroxy-3-ethyl-1,4-naphthoquinone",CCC1=C(O)C(=O)c2ccccc2C1=O,"2-hydroxy-3-ethyl-1,4-naphthosemiquinone",CCC1=C(O)C([O])c2ccccc2C1[O],-590
"2-hydroxy-3-pentyl-1,4-naphthoquinone",CCCCCC1=C(O)C(=O)c2ccccc2C1=O,"2-hydroxy-3-pentyl-1,4-naphthosemiquinone",CCCCCC1=C(O)C([O])c2ccccc2C1[O],-573
"2-hydroxy-3-hexyl-1,4-naphthoquinone",CCCCCCC1=C(O)C(=O)c2ccccc2C1=O,"2-hydroxy-3-hexyl-1,4-naphthosemiquinone",CCCCCCC1=C(O)C([O])c2ccccc2C1[O],-594
"2-hydroxy-3-heptyl-1,4-naphthoquinone",CCCCCCCC1=C(O)C(=O)c2ccccc2C1=O,"2-hydroxy-3-heptyl-1,4-naphthosemiquinone",CCCCCCCC1=C(O)C([O])c2ccccc2C1[O],-594
"2-hydroxy-3-octyl-1,4-naphthoquinone",CCCCCCCCC1=C(O)C(=O)c2ccccc2C1=O,"2-hydroxy-3-octyl-1,4-naphthosemiquinone",CCCCCCCCC1=C(O)C([O])c2ccccc2C1[O],-573
"2-hydroxy-3-nonyl-1,4-naphthoquinone",CCCCCCCCCC1=C(O)C(=O)c2ccccc2C1=O,"2-hydroxy-3-nonyl-1,4-naphthosemiquinone",CCCCCCCCCC1=C(O)C([O])c2ccccc2C1[O],-603
"2-hydroxy-3-undecyl-1,4-naphthoquinone",CCCCCCCCCCCC1=C(O)C(=O)c2ccccc2C1=O,"2-hydroxy-3-undecyl-1,4-naphthosemiquinone",CCCCCCCCCCCC1=C(O)C([O])c2ccccc2C1[O],-770
"2-hydroxy-3-(3-methylbutyl)-1,4-naphthoquinone",CC(C)CCC1=C(O)C(=O)c2ccccc2C1=O,"2-hydroxy-3-(3-methylbutyl)-1,4-naphthosemiquinone",CC(C)CCC1=C(O)C([O])c2ccccc2C1[O],-604
"2-hydroxy-3-prenyl-1,4-naphthoquinone",CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,"2-hydroxy-3-prenyl-1,4-naphthosemiquinone",CC(C)=CCC1=C(O)C([O])c2ccccc2C1[O],-606
"2-hydroxy-3-(3,7-dimethyloctyl)-1,4-naphthoquinone",CC(C)CCCC(C)CCC1=C(O)C(=O)c2ccccc2C1=O,"2-hydroxy-3-(3,7-dimethyloctyl)-1,4-naphthosemiquinone",CC(C)CCCC(C)CCC1=C(O)C([O])c2ccccc2C1[O],-606
"2-hydroxy-3-(3-(4-phenoxyphenyl)butyl)-1,4-naphthoquinone",CC(CCC1=C(O)C(=O)c2ccccc2C1=O)c3ccc(Oc4ccccc4)cc3,"2-hydroxy-3-(3-(4-phenoxyphenyl)butyl)-1,4-naphthosemiquinone",CC(CCC1=C(O)C([O])c2ccccc2C1[O])c3ccc(Oc4ccccc4)cc3,-599
"2-hydroxy-3-(4-(4-phenoxyphenyl)butyl)-1,4-naphthoquinone",OC1=C(CCCCc2ccc(Oc3ccccc3)cc2)C(=O)c4ccccc4C1=O,"2-hydroxy-3-(4-(4-phenoxyphenyl)butyl)-1,4-naphthosemiquinone",OC1=C(CCCCc2ccc(Oc3ccccc3)cc2)C([O])c4ccccc4C1[O],-607
"2-hydroxy-3-(10-bromodecyl)-1,4-naphthoquinone",OC1=C(CCCCCCCCCCBr)C(=O)c2ccccc2C1=O,"2-hydroxy-3-(10-bromodecyl)-1,4-naphthosemiquinone",OC1=C(CCCCCCCCCCBr)C([O])c2ccccc2C1[O],-582
"2-hydroxy-3-(cis-4-cyclohexylcyclohexyl)-1,4-naphthoquinone",OC1=C([C@@H]2CC[C@@H](CC2)C3CCCCC3)C(=O)c4ccccc4C1=O,"2-hydroxy-3-(cis-4-cyclohexylcyclohexyl)-1,4-naphthosemiquinone",OC1=C([C@@H]2CC[C@@H](CC2)C3CCCCC3)C([O])c4ccccc4C1[O],-597
"2-hydroxy-3-(4-methylphenylthio)-1,4-naphthoquinone",Cc1ccc(SC2=C(O)C(=O)c3ccccc3C2=O)cc1,"2-hydroxy-3-(4-methylphenylthio)-1,4-naphthosemiquinone",Cc1ccc(SC2=C(O)C([O])c3ccccc3C2[O])cc1,-369
"2-hydroxy-3-(10-(decylthio)-decyl)-1,4-naphthoquinone",CCCCCCCCCCSCCCCCCCCCCC1=C(O)C(=O)c2ccccc2C1=O,"2-hydroxy-3-(10-(decylthio)-decyl)-1,4-naphthosemiquinone",CCCCCCCCCCSCCCCCCCCCCC1=C(O)C([O])c2ccccc2C1[O],-582
"2-hydroxy-3-(10-(4-methylphenylthio)decyl)-1,4-naphthoquinone",Cc1ccc(SCCCCCCCCCCC2=C(O)C(=O)c3ccccc3C2=O)cc1,"2-hydroxy-3-(10-(4-methylphenylthio)decyl)-1,4-naphthosemiquinone",Cc1ccc(SCCCCCCCCCCC2=C(O)C([O])c3ccccc3C2[O])cc1,-616
"2-hydroxy-3-(10-(4-cyclohexylphenoxy)decyl)-1,4-naphthoquinone",OC1=C(CCCCCCCCCCOc2ccc(cc2)C3CCCCC3)C(=O)c4ccccc4C1=O,"2-hydroxy-3-(10-(4-cyclohexylphenoxy)decyl)-1,4-naphthosemiquinone",OC1=C(CCCCCCCCCCOc2ccc(cc2)C3CCCCC3)C([O])c4ccccc4C1[O],-510
"2-hydroxy-3-phenylazo-1,4-naphthoquinone",OC1(N=NC2=CC(=O)c3ccccc3C2=O)C(c4ccccc4)C(=O)c5ccccc5C1=O,"2-hydroxy-3-phenylazo-1,4-naphthosemiquinone",OC1(N=NC2=CC([O])c3ccccc3C2[O])C(c4ccccc4)C(=O)c5ccccc5C1=O,-446
"2-hydroxy-7-methoxy-1,4-naphthoquinone",COc1ccc2C(=O)C=C(O)C(=O)c2c1,"2-hydroxy-7-methoxy-1,4-naphthosemiquinone",COc1ccc2C([O])C=C(O)C([O])c2c1,-475
"2-hydroxy-7-methoxy-3-(3cyclohexylpropyl)-1,4-naphthoquinone",COc1ccc2C(=O)C(=C(O)C(=O)c2c1)CCCC3CCCCC3,"2-hydroxy-7-methoxy-3-(3cyclohexylpropyl)-1,4-naphthosemiquinone",COc1ccc2C([O])C(=C(O)C([O])c2c1)CCCC3CCCCC3,-636
"5-hydroxy-3-bromo-1,4-naphthoquinone",Oc1cccc2C(=O)C=C(Br)C(=O)c12,"5-hydroxy-3-bromo-1,4-naphthosemiquinone",Oc1cccc2C([O])C=C(Br)C([O])c12,-233
"5-hydroxy-2-methyl-1,4-naphthoquinone",CC1=CC(=O)c2c(O)cccc2C1=O,"5-hydroxy-2-methyl-1,4-naphthosemiquinone",CC1=CC([O])c2c(O)cccc2C1[O],-479
"5-hydroxy-3-methyl-1,4-naphthoquinone",CC1=CC(=O)c2cccc(O)c2C1=O,"5-hydroxy-3-methyl-1,4-naphthosemiquinone",CC1=CC([O])c2cccc(O)c2C1[O],-464
"2,3-dihydroxy-1,4-naphthoquinone",OC1=C(O)C(=O)c2ccccc2C1=O,"2,3-dihydroxy-1,4-naphthosemiquinone",OC1=C(O)C([O])c2ccccc2C1[O],-590
"5,8-dihydroxy-1,4-naphthoquinone",Oc1ccc(O)c2C(=O)C=CC(=O)c12,"5,8-dihydroxy-1,4-naphthosemiquinone",Oc1ccc(O)c2C([O])C=CC([O])c12,-284
"2,7-dihydroxy-3-undecyl-1,4-naphthoquinone",CCCCCCCCCCCC1=C(O)C(=O)c2cc(O)ccc2C1=O,"2,7-dihydroxy-3-undecyl-1,4-naphthosemiquinone",CCCCCCCCCCCC1=C(O)C([O])c2cc(O)ccc2C1[O],-667
"2-(3-methylphenylthio)-1,4-naphthoquinone",Cc1cccc(SC2=CC(=O)c3ccccc3C2=O)c1,"2-(3-methylphenylthio)-1,4-naphthosemiquinone",Cc1cccc(SC2=CC([O])c3ccccc3C2[O])c1,-496
"2-methyl-3-(2-naphthylthio)-1,4-naphthoquinone",CC1=C(Sc2ccc3ccccc3c2)C(=O)c4ccccc4C1=O,"2-methyl-3-(2-naphthylthio)-1,4-naphthosemiquinone",CC1=C(Sc2ccc3ccccc3c2)C([O])c4ccccc4C1[O],-521
